pair,n_features,mean_delta,median_JS_A,median_JS_B,n_flagged_bh,frac_flagged_bh,n_ci_separated,frac_ci_separated
xgb_tab vs xgb_covmatched_emb,486,-0.046001779459773226,0.05005779584996414,0.020819114433196048,284,0.5843621399176955,267,0.5493827160493827
xgb_covmatched_emb vs xgb_sage_l1,486,0.014612999275466823,0.023773219596575863,0.025736307809653337,162,0.3333333333333333,156,0.32098765432098764
