A,B,n_features,mean_JS_A,mean_JS_B,median_JS_A,median_JS_B,n_features_significant_fdr,frac_features_significant_fdr,mean_delta,n_features_CI_separated,frac_features_CI_separated
xgb_tab,xgb_sage_l1,486,0.11466550372206073,0.08444407905256188,0.048755505228010976,0.021739759374099582,269,0.5534979423868313,-0.030221424669498842,251,0.5164609053497943
xgb_tab,xgb_sage_l2,486,0.11061886746018018,0.09386725065769945,0.048924835745348706,0.026800875637871636,264,0.5432098765432098,-0.016751616802480728,249,0.5123456790123457
catb_tab,catb_sage_l1,486,0.15847259753207774,0.11987939490928044,0.050830115903563976,0.0338934209239599,247,0.5082304526748971,-0.03859320262279728,231,0.47530864197530864
