config,emb_share_random,emb_share_temporal,persistence_ratio,n_emb_cols,emb_in_top20_random,emb_in_top20_temporal
xgb_sage_l2,0.26685363853900557,0.28839325027993024,1.0807169497813547,64,5,5
catb_sage_l1,0.2998433449736551,0.29696187957013437,0.9903900971896711,64,6,5
xgb_sage_l1,0.3594987915154212,0.32664674784162645,0.9086170956644635,64,6,5
xgb_noise_inj,0.38055666919575765,0.33502836796012153,0.8803639380913951,64,7,5
catb_noise_inj,0.2940755593220264,0.2545435271428749,0.8655718541510549,64,6,1
xgb_permuted_emb,0.15187902316325028,0.06904391949632604,0.454598127235206,64,0,0
xgb_random_emb,0.21111067889471788,0.07846204566138051,0.37166308247490404,64,0,0
catb_random_emb,0.09824491622456563,0.03203868091093179,0.3261103183975303,64,0,0
catb_permuted_emb,0.06944690344262588,0.01684231102644051,0.24252069122642628,64,0,0
