A,B,n_features,mean_JS_A,mean_JS_B,median_JS_A,median_JS_B,n_features_significant_fdr,frac_features_significant_fdr,mean_delta,n_features_CI_separated,frac_features_CI_separated
xgb_tab,xgb_random_emb,486,0.11225975739152105,0.0963609003667774,0.04582751425781978,0.03544081068859533,227,0.4670781893004115,-0.015898857024743664,214,0.4403292181069959
xgb_tab,xgb_permuted_emb,486,0.11507758338364778,0.09371772832016817,0.04986081373098491,0.030355361308064453,266,0.5473251028806584,-0.021359855063479604,242,0.49794238683127573
xgb_tab,xgb_noise_inj,486,0.11543699834701927,0.07991302783286808,0.04806120160015555,0.022426235043421845,275,0.565843621399177,-0.035523970514151175,254,0.522633744855967
