config,split,auc,pr_auc,brier,f1,threshold,ece,delong_z,delong_p
catb_sage_l1,random,0.9586964512236382,0.796270898369844,0.013603168596763861,0.4935064935064935,0.03959292568944157,0.006475120951547985,18.699999521021894,0.0
catb_tab,random,0.9615702472636343,0.8066889648321224,0.013029606884014456,0.5160064318082151,0.04297640748482874,0.00658808301394058,17.270494159064068,0.0
sage_only,random,0.861408840527844,0.44860068753333043,0.02463712729513645,0.23654394641128293,0.03709276020526886,0.0023723903858519405,45.91871613649113,0.0
xgb_noise_inj,random,0.9626037817750261,0.8027854014639233,0.014384111389517784,0.491617559727742,0.011953948996961117,0.011548144092363181,17.8917579889339,0.0
xgb_permuted_emb,random,0.9656906841344767,0.8059260593919411,0.013724241405725479,0.49634163177028207,0.02389651909470558,0.007959825521703053,16.2633684665003,0.0
xgb_random_emb,random,0.9600752118393111,0.7845500032681962,0.015268056653439999,0.4897921306607275,0.012128148227930069,0.012304612886132184,20.453262897848596,0.0
xgb_sage_l1,random,0.9692663109489251,0.8331236889966178,0.01242086011916399,0.5045218748565395,0.01690470427274704,0.00862630309988074,12.426743933824028,0.0
xgb_sage_l2,random,0.9696682958950664,0.8345159533811226,0.012166856788098812,0.5459299110060838,0.0211945790797472,0.008078218099639123,11.306870224351732,0.0
xgb_tab,random,0.9765800490645007,0.8654822475832186,0.010685124434530735,0.5405535499398315,0.022779149934649467,0.006144033934778837,,
catb_sage_l1,temporal,0.9089985269925485,0.5625189154595164,0.021155959671085633,0.2967718042096167,0.03254668436705262,0.0024993804912631086,10.946203419563847,0.0
catb_tab,temporal,0.9093229265466249,0.5687756879563451,0.021117086364371283,0.28969868506397783,0.025327886744781397,0.006251604006615574,10.586036108238822,0.0
sage_only,temporal,0.8398806278102136,0.3812116119914135,0.026556704193353653,0.1970010917273801,0.034350454807281494,0.006574756172969442,34.43283460306974,0.0
xgb_noise_inj,temporal,0.9148856775589671,0.5611684036484198,0.02142038568854332,0.28778186239036674,0.0221067164093256,0.006914807046647832,7.896453210287977,2.886579864025407e-15
xgb_permuted_emb,temporal,0.9206012691131517,0.5795571044264912,0.021001901477575302,0.29953488372093023,0.02110380120575428,0.007919441287232593,3.099060802991243,0.001941351740638364
xgb_random_emb,temporal,0.9183379373814927,0.5693115516476498,0.02130400761961937,0.2745894976426597,0.020060677081346512,0.0070724802471654755,5.691021930518499,1.2628128542857553e-08
xgb_sage_l1,temporal,0.9162227244540595,0.566213941550801,0.021132830530405045,0.2767736416567786,0.02243451029062271,0.005549778992423107,6.732561417188183,1.667022075935165e-11
xgb_sage_l2,temporal,0.914283886778049,0.5560876671632498,0.02150031365454197,0.2893329415221863,0.021656887605786324,0.007051607742085962,8.112168690533405,4.440892098500626e-16
xgb_tab,temporal,0.922696106451725,0.5902172344808944,0.020675502717494965,0.2669987674609696,0.017059609293937683,0.0080173291612699,,
