A,B,n_features,mean_JS_A,mean_JS_B,median_JS_A,median_JS_B,n_features_significant_fdr,frac_features_significant_fdr,mean_delta,n_features_CI_separated,frac_features_CI_separated
xgb_random_emb,xgb_sage_l1,486,0.1105074501519465,0.08724364681945786,0.03938091624864652,0.02602664845184603,244,0.5020576131687243,-0.02326380333248865,225,0.46296296296296297
xgb_permuted_emb,xgb_sage_l1,486,0.10287711453675658,0.0900945616463231,0.03576023140197586,0.025060994680102096,207,0.42592592592592593,-0.012782552890433467,196,0.40329218106995884
xgb_random_emb,xgb_permuted_emb,486,0.11430998988643107,0.10131798493782564,0.04582150302028653,0.03486343806683938,235,0.4835390946502058,-0.012992004948605439,216,0.4444444444444444
xgb_noise_inj,xgb_sage_l1,486,0.09834922476580633,0.09192129781762276,0.030843151917036918,0.02866219484032717,190,0.39094650205761317,-0.006427926948183583,176,0.36213991769547327
