resampling,n_features,n_flagged_bh,frac_flagged_bh,n_flagged_raw,frac_flagged_raw,alpha,bins,mean_delta,median_JS_A,median_JS_B
block_time,486,168,0.345679012345679,181,0.3724279835390947,0.05,50,0.008958956317998413,0.045700594902457696,0.0464457858205929
cluster_entity,486,169,0.3477366255144033,177,0.36419753086419754,0.05,50,0.008958956317998413,0.045700594902457696,0.0464457858205929
