feature_class,n_features,mean_delta_real,mean_delta_control,mean_signal_effect,frac_real_beats_control
entity_related,33,-0.06103470234959058,-0.028497680193834852,-0.03253702215575573,0.696969696969697
non_entity,453,-0.027976748812008716,-0.014981061959445626,-0.01299568685256309,0.5408388520971302
all,486,-0.030221424669498842,-0.015898857024743664,-0.014322567644755181,0.551440329218107
